Episode,Reward
0,-80.2026
1,-79.9624
2,-80.7473
3,-80.7089
4,-72.4396
5,-33.0571
6,-33.5245
7,-30.9676
8,-33.2752
9,-29.6177
10,-33.1657
11,-31.4648
12,-31.1953
13,-30.4521
14,-32.6556
15,-56.0301
16,-49.5197
17,-53.988
18,-53.8659
19,-55.0678
20,-56.0739
21,18.7333
22,15.2826
23,17.5815
24,15.2231
25,17.0327
26,17.1376
27,16.4512
28,18.395
29,11.4065
30,18.4468
31,15.6837
32,22.2433
33,19.158
34,7.32194
35,16.4342
36,21.9515
37,14.2266
38,11.3896
39,13.638
40,28.3763
41,15.0126
42,-54.9253
43,-55.1444
44,-56.0478
45,-58.4342
46,-57.2401
47,-55.7427
48,-55.2736
49,-55.1393
50,-57.5363
51,-55.9353
52,-54.9579
53,-56.0371
54,-55.2554
55,-55.3953
56,-54.9501
57,-57.0643
58,-54.2791
59,-56.203
60,-56.7097
61,-58.307
62,-55.9926
63,-54.4051
64,-54.925
65,-57.2446
66,-55.1061
67,-56.0221
68,-56.5951
69,-55.1755
70,-56.4803
71,-55.7254
72,-55.8289
73,-55.9715
74,-56.5082
75,-57.6912
76,-57.5987
77,-56.7191
78,-56.3313
79,-56.2307
80,-56.9306
81,-56.4857
82,-55.0062
83,-55.683
84,-54.5852
85,-54.7906
86,-58.0162
87,-55.4074
88,-58.0097
89,-56.462
90,-56.9306
91,-55.9662
92,-56.1279
93,-57.6102
94,-56.8657
95,-56.7827
96,-57.2119
97,-55.5161
98,-56.1892
99,-56.728
100,-56.0746
101,-56.2572
102,-54.7857
103,-55.5012
104,-54.632
105,-54.4478
106,-57.3393
107,-58.0915
108,-56.4105
109,-54.6746
110,-56.0064
111,-55.6481
112,-58.2516
113,-56.3625
114,-58.0192
115,-56.3064
116,-53.9621
117,-53.8832
118,-57.7341
119,18.5918
120,18.804
121,15.4238
122,20.0517
123,14.0341
124,14.0213
125,13.3247
126,14.4437
127,14.8712
128,16.1888
129,13.0722
130,12.8105
131,15.7189
132,18.4636
133,13.965
134,9.99595
135,14.596
136,19.4036
137,15.2946
138,12.589
139,12.7792
140,12.0815
141,18.5109
142,17.5227
143,22.8558
144,20.8722
145,13.2089
146,14.7028
147,17.596
148,18.5395
149,16.0422
150,14.6451
151,21.997
152,8.77115
153,16.3126
154,12.8039
155,17.4689
156,9.40766
157,18.3045
158,25.6446
159,17.9847
160,18.0269
161,17.8162
162,14.2739
163,15.3824
164,14.6381
165,27.4234
166,14.6799
167,18.0972
168,16.2087
169,12.639
170,14.039
171,16.5958
172,19.4529
173,15.9817
174,16.5501
175,13.5762
176,14.9498
177,16.7438
178,19.63
179,23.6576
180,11.5944
181,14.6498
182,18.8237
183,18.4093
184,15.7111
185,21.3453
186,17.5864
187,20.3408
188,14.2628
189,17.5647
190,20.7649
191,15.7528
192,12.7719
193,12.9994
194,17.4169
195,12.2045
196,12.0318
197,13.584
198,18.376
199,15.9176
200,17.1647
201,15.6675
202,14.6408
203,24.4009
204,15.6539
